name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Subtype,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Service Charge Fee,Service Charge Covers,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Facilities,Listing by,Furnished
"2bdrm Block of Flats in Bako, Mile 12 for rent", 700000,"Kosofe, Mile 12",https://jiji.ng/mile-12/houses-apartments-for-rent/2bdrm-block-of-flats-in-bako-mile-12-for-rent-rBNVHXquNEdZN7C9oNv2k89A.html?page=42&pos=15&cur_pos=15&ads_per_page=22&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=945,"Block of 2 Bedroom Flats at Bako Estate, Ikorodu Road, Irawo bus stop, Lagos.
This 2-bedroom flat is downstairs with large living room, masters bedroom, kitchen, guest room and wardrobes.",11 Wale Adenuga Street,Bako,1200sqm,Fairly Used,Unfurnished,Block of Flats,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
"4bdrm Duplex in Osapa London Estate, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-osapa-london-estate-lekki-for-rent-8g7bWsriLXMKoOMHWL5gC2XA.html?page=42&pos=18&cur_pos=18&ads_per_page=22&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=948,"Brand new Four bedroom house for rent !!
Location AGUNGI lekki Lagos 
Breakdown 
Rent - 6 M 
Agency- 600,000 N 
Legal - 600,000 N 
Caution- 500,000 N 
Self service",Lekki,Osapa London Estate,1000sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"3bdrm Apartment in Admiralty Way, Lekki Phase 1 for rent", 6000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-apartment-in-admiralty-way-lekki-phase-1-for-rent-xporBuUV6vJwM5au5audRAuh.html?page=42&pos=21&cur_pos=21&ads_per_page=22&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=951,"3 bedroom with a bq on admiralty way 
Comes with AC ,pool, fully fitted kitchen and fully serviced 20-24hr electricity  
Rent 6m
Agency 10%
Agreement 10%
Caution 300k 
S/c 3m",admiralty way,admiralty way,3500sqm,Newly-Built,Semi-Furnished,Apartment,3 bedrooms,4 bathrooms,,600000,600000,300000,1500000,3000000,"Security ,lawma,cleaning,wastage disposal,drainage of sockaway,water treatment,estate dues ,diesel deposit for 1yr ,mentainance",,,,,,,,
"3bdrm Duplex in Lekki Palm City, Ajah for rent", 4000000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/3bdrm-duplex-in-lekki-palm-city-ajah-for-rent-n2049qQ7MHM7PfImFcHbYdcm.html?page=43&pos=2&cur_pos=2&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=954,"3 bedroom Duplex in Lekki palm city estate, Ajah
Rent-4m
Agency- 10 percent
Legal-10 percent 
Features
Swimming pool
Gym
24hr power
Security",Ajah,Lekki palm city estate,300sqm,Newly-Built,Semi-Furnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Osapa for rent, 6500000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/4bdrm-duplex-in-osapa-for-rent-fFJgdIhW6mMcEbGLZeeVPOsr.html?page=43&pos=5&cur_pos=5&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=957,"JUST OUT 
4 bedroom fully detached duplex for rent in Osapa London 
Rent 6.5M 
Legal: 5%
Agency: 10%
Caution: 5%
Total Package: 7.8M
For Inspection Inquiries091XXXXXXXX",Osapa lekki,Osapa,381sqm,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"2bdrm Block of Flats in New Site, Awoyaya for rent", 800000,"Ibeju, Awoyaya",https://jiji.ng/awoyaya/houses-apartments-for-rent/2bdrm-block-of-flats-in-new-site-awoyaya-for-rent-fhXPLWpck38YIz0ey9ncbXek.html?page=43&pos=8&cur_pos=8&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=960,"Letting! 
A newly built 2bedroom flat with all rooms ensuite with a visitor's toilet in a very serene environment.","New road bus stop, awoyaya",New site,650sqm,Newly-Built,Unfurnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Banana Island for rent, 30000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/furnished-4bdrm-duplex-in-banana-island-for-rent-BjiNjmH8H9jMujTHRmaUKLqP.html?page=43&pos=11&cur_pos=11&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=963,For lease @ 104 banana island Lagos 4bedroom service terrace duplx wth bq swimming pool Gym 30milion per Anum 2years rent service is 4milion,banana island,,728sqm,Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,4000000,,,,,,,,,
"4bdrm Duplex in Lekky County, Lekki for rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekky-county-lekki-for-rent-A4PPec5zPH0hx5MI2ruLGii9.html?page=43&pos=14&cur_pos=14&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=966,"4 BEDROOM DETACHED DUPLEX FOR RENT ! 
Location: Lekki county , Lagos
Other Charges : 
Agency 10%
Legal 10%
Features
- All Rooms Ensuite 
- 24 Hours Security
- Fully Fitted Kitchen
- Stamp Concrete Floor
- 1 BQ
- POP Ceiling 
- Water Heater 
- Jacuzzi 
- Water Treatment Plant
- Walk In Shower 
- Inbuilt Speakers
- Self Serviced 
Rams",Lekky county,Lekky county,300sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,700000,700000,700000,2100000,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 16000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-kmXa2gtZy2Stq5RFwGvIxN8x.html?page=43&pos=17&cur_pos=17&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=969,"FOR RENT! 
Lovely 4 Bedroom Luxury Terrace plus BQ,
Location - Lekki Phase One
Rent: N16m per annum
Service Charge - N2.128m
Caution - 500k
Agency - 10%
Legal - 10%
Property Features:
- [x] Swimming Pool
- [x] Gym
- [x] Fitted with ACs
- [x] Secured Estate
- [x] Serene Neighborhood
 For more information and enquiries070XXXXXXXX",Lekki Phase One,,500sqm,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Semi-Detached,,,,,,,,,,,,,,
"4bdrm Duplex in Chevyview, Chevron for rent", 5000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-duplex-in-chevyview-chevron-for-rent-cwK6kF4BcUhkUS8sa7zVYtI4.html?page=43&pos=20&cur_pos=20&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=972,"4bedroom duplex in a secured and gated estate in chevron, lekki 
Rent 5m
Caution fee 300k
Legal fee 10%
Agency fee 10%","Chevron, lekki",Chevyview,382sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
5bdrm Duplex in Lekki Phase 2 for rent, 4500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/5bdrm-duplex-in-lekki-phase-2-for-rent-mWhNva7xXHDcg6bNSQ20skvp.html?page=43&pos=23&cur_pos=23&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=975,Rent is 4.5m Agency and legal 10% each and caution fees 10%as well. Location Oral estate. Self service. Fully detached duplex,Oral Estate,,450sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,,,
3bdrm Apartment in Lekki Phase 1 for rent, 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-apartment-in-lekki-phase-1-for-rent-mGoEBK9SNbLPeEJGbR7vrujN.html?page=44&pos=3&cur_pos=3&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=978,"Solo 3 BEDROOM APARTMENT FOR RENT! (GROUND FLOOR ) 
Location: Lekki Phase 1, Lagos
Rent: 8m per annum 
Other Charges:
-Agency : 10%
-Legal : 5%
-Caution : 10% 
- Service Charge: 2m (Pay as you go)
-Total Package : 12m
Features
- 24 Hours Security 
- 24 Hours Electricity 
- Fitted Kitchen 
- Interlocked Floor 
- Water Heater
- Elevator 
- Pop Ceiling
- Bathtub 
- Walk-in-shower 
- Fully Serviced
•",Lekki phase 1,Lekki phase 1,300sqm,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
5bdrm Duplex in Ikoyi for rent, 14000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-ikoyi-for-rent-tIvcGJfc39STuFx0KYQBsfL3.html?page=44&pos=6&cur_pos=6&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=981,"IKOYI RESIDENTIAL/ COMMERCIAL SPICE 
5 bedroom fully detached duplex for rent with good parking space, both In front and back located at a private section in Parkview estate, Ikoyi.
Property is permitted for RESIDENTIAL or reasonable COMMERCIAL activities, such as:
*Shortlets*
*Clinic*
*Daycare*
*Spa*
*Office*
*Laundry*
*Storehouse*
*Etc*
*RENT 14M*
Agency 10%
Legal 10%
Caution 1M (refundable)
*Self Service*",Ikoyi,,500sqm,Fairly Used,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
"Furnished 2bdrm Apartment in Off Ojuelegba, Surulere for rent", 2500000,Surulere,https://jiji.ng/surulere/houses-apartments-for-rent/furnished-2bdrm-apartment-in-off-ojuelegba-surulere-for-rent-BwVAB6sA5NDWZyIPGIOh0ZAa.html?page=44&pos=9&cur_pos=9&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=984,"Standard clean sharp 2 bedroom flat available in secured environment,tiled road with steady light & water.",Off Ojuelegba,Off Ojuelegba,269sqm,Newly-Built,Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
4bdrm Apartment in Old Ikoyi for rent, 25000000,"Ikoyi, Old Ikoyi",https://jiji.ng/old-ikoyi/houses-apartments-for-rent/4bdrm-apartment-in-old-ikoyi-for-rent-yBXRl4mYKd2RMGjR635pUbfO.html?page=44&pos=11&cur_pos=11&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=986,"FOR RENT: A beautiful 4 bedroom unfurnished, fully serviced apartment with a pool, gym and 1 BQ.
LOCATION: IKOYI
Rent:
Agency:
Legal:
Caution:
Service charge:
VAT.  on Service Charge
02DI15",Ikoyi,,500sqm,Fairly Used,Unfurnished,Apartment,4 bedrooms,4 bathrooms,,,,,,6000000,,,,,,,,,
"4bdrm Duplex in Orchid, Chevron for Rent", 4500000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-duplex-in-orchid-chevron-for-rent-zL2Zx2Yx0oa2kIF7YzdkPd6o.html?page=44&pos=15&cur_pos=15&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=990,"4. Serviced four bedroom terrace duplex off Orchid road
Rent: N4.5M
Agency: 10%
Legal: 10%
Caution: 10%",orchid Road,orchid,300sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"Furnished 3bdrm Bungalow in Igboelerin, Ojo for rent", 1000000,Ojo,https://jiji.ng/ojo/houses-apartments-for-rent/furnished-3bdrm-bungalow-in-igboelerin-ojo-for-rent-z6wExr1LJm5UnaVPqiBPbzsL.html?page=44&pos=16&cur_pos=16&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=991,Wonderful and spacious stay alone 3beds for rent at igboelerin opeyemi street,Igboelerin,Igboelerin,300sqm,Fairly Used,Furnished,Bungalow,3 bedrooms,3 bathrooms,Detached,,,,,,,,,,,,,,
"4bdrm Duplex in Empire Homes Estate, Lekki for rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-empire-homes-estate-lekki-for-rent-fjAI7e7WSDwYPkhEjYaJvh6g.html?page=44&pos=19&cur_pos=19&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=994,"Letting 
A self serviced Four Bedroom semi detached Duplex with one room bq and a gate house at Empire Homes Estate, Chevron alternative, Lekki.
 Rent : #4.m per annum.
Agency fee 10%
Agreement 10%
Caution fee 10%","Empire homes estate, Chevron alternative, Lekki",Empire homes estate,350sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ilasan-Ikate, Lekki for rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ilasan-ikate-lekki-for-rent-zggteiAa2kTnPmfMQMZbMDg.html?page=44&pos=22&cur_pos=22&ads_per_page=23&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=997,"*TO LET*
Very standard 4 bedroom townhouse/terrace duplex 
Location - Ilasan lekki Lagos
Rent 4m
Agency 400k
Legal 400k
Caution 400k
Service charge 570k(per annum)
Total package #5,770,000
*NB* Come with your gen 
#Emauch#","Ilasan-Ikate, Lekki",Ilasan-Ikate,250sqm,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
Furnished 5bdrm Duplex in Ikota for Rent, 5500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/furnished-5bdrm-duplex-in-ikota-for-rent-zejICiSaDxqDhx0aW1tjSXHf.html?page=45&pos=2&cur_pos=2&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1000,"Lamash rent 
 fastest finger 
5bedroom fully detached duplex for rent 
amenities: 
- [ ] 5bedroom 
- [ ] fitted kitchen with accessories 
- [ ] modern day pop ceiling 
- [ ] detailed finishing 
- [ ] wardrobes 
- [ ] jacuzzi
- [ ] cctv 
- [ ] water heater
- [ ] heat extractor 
- [ ] bq 
location: ikota lekki 
price: per annum 
agency : percent 
legal : percent 
caution : percent",LAMASH RENT    FASTEST FINGER   5BEDROOM FULLY DETACHED DUP,Ikota,300sqm,Newly-Built,Furnished,Duplex,5 bedrooms,5 bathrooms,,275000,275000,137500,,5,"Lamash rent 


fastest finger 

5bedroom fully detached duplex for rent 
amenities: 
- [ ] 5bedroom 
- [ ] fitted kitchen with accessories 
- [ ] modern day pop ceiling 
- [ ] detailed finishing 
- [ ] wardrobes 
- [ ] jacuzzi
- [ ] cctv 
- [ ] water heater
- [ ] heat extractor 
- [ ] bq 

location: ikota lekki 
📌price: 5.5m per annum 
agency : 10 percent 
legal : 10 percent 
caution : 5 percent",,,,,,,,
3bdrm Duplex in Lekki for rent, 15000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-duplex-in-lekki-for-rent-i2U0fQOTdID7ISWRtIQDmFBL.html?page=45&pos=5&cur_pos=5&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1003,"WTO LET 
4 bed semi detached duplex with bq | Lekki phase 1 
Rent : 15M 
Agency : 10% 
Legal : 10% 
Caution : 1 M 
Sc : 1.5 M 
Features: 
Well secured and gated 
Nice estate 
24 hrs power 
Good rd 
Clean water 
Well planned community 
1 bq 
All rooms",Lekki phase 1,LEKKI,850sqm,Newly-Built,Semi-Furnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Chevron Drive For Rent, 6000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/furnished-4bdrm-duplex-in-chevron-drive-for-rent-5wxrELYEAne9yoKcfJthHYtQ.html?page=45&pos=8&cur_pos=8&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1006,"*AVAILABLE FOR RENT*
Furnished Fully Serviced 4 Bedroom Terrace Duplex
Chevron Drive 
Rent: 6M
SC:780k Yearly (  Per Month)
Agency 
Legal: 
Caution:5 
*TOTAL   
150 Naira Per Unit 
 24 Hours Light  
 Swimming Pool  
 Tennis Playground",Chevron drive,Chevron drive,500sqm,Fairly Used,Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"4bdrm Apartment in Orchid, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-apartment-in-orchid-lekki-for-rent-43OmERswqpwjD0bL6CIQtzDA.html?page=45&pos=11&cur_pos=11&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1009,"TO LET 
 4 BEDROOM TERRACE DUPLEX FOR RENT! 
Location: Orchid, Lekki, Lagos
Rent: 4.5m per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 600k
- Service Charge : 40k monthly
- Total Package : 6m
 Features
- 24 Hours Security
- 24 Hours Electricity
- All Rooms Ensuite
- Fully Fitted Kitchen
- Pop Ceiling
- Water Heater
- Walk-in-Shower
- Interlocked Floor
- Fully Serviced",Orchid,Orchid,200sqm,Newly-Built,Unfurnished,Apartment,4 bedrooms,5 bathrooms,,450000,450000,600000,,40000,,,,,,,,,
"Furnished 1bdrm Apartment in Off Ojuelegba, Surulere for rent", 1800000,Surulere,https://jiji.ng/surulere/houses-apartments-for-rent/furnished-1bdrm-apartment-in-off-ojuelegba-surulere-for-rent-boPzITbRErrioBx1nNvFfIWD.html?page=45&pos=14&cur_pos=14&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1012,"Super clean sharp mini flat available in a secured environment,tarred road & very to island.",Off ojuelegba,Off ojuelegba,125sqm,Newly-Built,Furnished,Apartment,1 bedroom,2 bathrooms,,,,,,,,,,,,,,,
"4bdrm Duplex in Vgc, Lekki for rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-vgc-lekki-for-rent-fiUctWXLYaPfMk0QpDxEKW6T.html?page=45&pos=17&cur_pos=17&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1015,"TO LET IN LEKKI
An exquisite newly built fully detached 4br duplex with the following facilities,
- all rooms ensuite with spacious rest rooms fitted with modern facilities.
- Spacious master bedroom with a walk in closet.
- All the rooms are fitted with modern wardrobes.
- 2 rooms BQ.
- Spacious fitted kitchen equipped with modern kitchen cabinet, microwave, oven, gas burners/hot plate.
- Spacious compound with houses space apart making the environment very airy.
- The building has an estate open gardens in front and behind.
- The estate has modern facilities with underground cables, compact unit transformers, potable water, well tarred roads and very beautiful layout at Creek Haven Estate near VGC Ajah.
Rent : #6.5m /annum. Two years rent
 required. 
Agency fee 10%
Agreement 10%
Caution fee 500k
#Adaralo#","VGC, IKOTA, LEKKI",VGC,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 2 for Rent, 4500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-2-for-rent-xqpjTzjds4pzMeBiixTnI3u2.html?page=45&pos=20&cur_pos=20&ads_per_page=21&ads_count=15794&lid=FOXK95B7VIvKP0sP&indexPosition=1018,"Spacious 4 Bedroom Semi Detached Duplex with BQ In a gated estate.
Features:- 
* 4 Bedroom 
* 4 Bathroom 
* 5 Toilet 
* BQ.
24/7 Security
Rent: 4.5M
Agency: 10%
Legal: 10%","Swizz Gardens Estate, Oral Extension.",,600sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
"Furnished 3bdrm Block of Flats in Off Zenith Bank, Victoria Island", 15000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/furnished-3bdrm-block-of-flats-in-off-zenith-bank-victoria-island-nN3WjuWpx3KhHTVa8RFgUA6.html?page=46&pos=2&cur_pos=2&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1021,"PREMIUM LETTING! 
A recently built and exquisitely finished and fully serviced 3bedroom flat with boy's quarters up for rent
Location:off Zenith Bank Heights, V/Island Lagos.
Special features:
*Elevators
*24/7 Security
*Ample Packing Space
*Swimming pool 
*Concierge with Access control (Fingerprint,Card and Number Code) etc 
RENT: N15M 
FURNISHED 3bedroom Apartment. 
SERVICE CHARGE: N1.4M 
CAUTION DEPOSIT: 10%
Agency: 10%
Legal: 10%
24hrs Power (Metered)",Victoria Island,Off Zenith bank height,500sqm,Newly-Built,Furnished,Block of Flats,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
3bdrm Apartment in Ikoyi for rent, 8000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-apartment-in-ikoyi-for-rent-zoe9yB6Re2ubK8yBWXnE4yrs.html?page=46&pos=5&cur_pos=5&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1024,"Tastefully built and serviced three (3) bedroom flat with a room bq, swimming pool inside an estate parkview ikoyi
location parkview ikoyi 
rent: n8m
service charge: n3m
diesel deposit: n2m
caution fee: 10%
legal fee: 10%
agency fee: 10%",Parkview Estate,,500sqm,Fairly Used,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
"4bdrm Duplex in Chevron Alternative, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-alternative-lekki-for-rent-hSe1VSRRShXbWbBn6L4AkTcf.html?page=46&pos=8&cur_pos=8&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1027,"*to let in chevron alternative, lekki, lagos* 
 *well maintained 4 bedroom fully detached duplex back unit with massive drive way for rent at chevron alternative.* 
 *rent: 6m* 
agency 10%
legal; 10% 
caution deposit 500k
estate security levy: 180k per annum
#matthewrealt#","Chevron alternative, Lekki",Chevron alternative,350sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
"4bdrm Duplex in Vgc, Lekki for rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-vgc-lekki-for-rent-fiUctWXLYaPfMk0QpDxEKW6T.html?page=46&pos=11&cur_pos=11&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1030,"TO LET IN LEKKI
An exquisite newly built fully detached 4br duplex with the following facilities,
- all rooms ensuite with spacious rest rooms fitted with modern facilities.
- Spacious master bedroom with a walk in closet.
- All the rooms are fitted with modern wardrobes.
- 2 rooms BQ.
- Spacious fitted kitchen equipped with modern kitchen cabinet, microwave, oven, gas burners/hot plate.
- Spacious compound with houses space apart making the environment very airy.
- The building has an estate open gardens in front and behind.
- The estate has modern facilities with underground cables, compact unit transformers, potable water, well tarred roads and very beautiful layout at Creek Haven Estate near VGC Ajah.
Rent : #6.5m /annum. Two years rent
 required. 
Agency fee 10%
Agreement 10%
Caution fee 500k
#Adaralo#","VGC, IKOTA, LEKKI",VGC,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
2bdrm Block of Flats in Lakowe for rent, 700000,"Ibeju, Lakowe",https://jiji.ng/lakowe/houses-apartments-for-rent/2bdrm-block-of-flats-in-lakowe-for-rent-5xSCpj2Miv69QEmn6EXOXvDj.html?page=46&pos=14&cur_pos=14&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1033,"Renovated two bedroom flat at adeba in lakowe.
Rent:
Agreement:
Agency:
Caution:
Service Charge:","Adeba major road, Lakowe",,600sqm,Renovated,Semi-Furnished,Block of Flats,2 bedrooms,2 bathrooms,,70000,70000,70000,210000,45000,,,,,,,,,
"4bdrm Duplex in Orchid, Lekki Phase 2 for Rent", 5000000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-orchid-lekki-phase-2-for-rent-s2u3Ej230057fMt9p83yRqfM.html?page=46&pos=17&cur_pos=17&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1036,"4 BEDROOM SEMI DETACHED DUPLEX FOR RENT! 
Location: Orchid , Lagos
Rent: 5m per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 250k
- Total Package : 6,250,000
Features
- All Rooms Ensuite
- 24 Hours Security
- Fitted Kitchen
- BQ
- Pop Ceiling
- Walk In shower
- Water Heater
- Interlocked Floor
- Inbuilt Speakers
- Self Serviced","Orchid road, Lekki",Orchid,180sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,500000,500000,250000,,,,,,,,,,,
"4bdrm Duplex in Chevron, Lekki for Rent", 5500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-eR6p7L2Zll22o9Bcy7GXlRPU.html?page=46&pos=20&cur_pos=20&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1039,"Available for rent. 
Newly built 4 bedroom semi-detached duplex in Chevron, Lekki lagos.
 Rent 5.5m, 
agency 10%
 legal 10% 
caution 5%","chevron, Lekki",chevron,,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Ajah for rent, 75000000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/4bdrm-duplex-in-ajah-for-rent-cJhtj4MQ3u4yqbxrqT1LERgE.html?page=47&pos=1&cur_pos=1&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1041,"Chisom LUXURY 4 BEDROOM SEMI DETACHED DUPLEX FOR SALE. 
Amenities:
- [ ] Fitted Kitchen with accessories 
- [ ] Modern Day POP Ceiling 
- [ ] Detailed finishing 
- [ ] Wardrobes 
- [ ] Luxury Finishing 
 - [ ] CCTV 
- [ ] Automated Light
- [ ] Water heater
- [ ] Heat extractor
- [ ] Secure Estate 
- [ ] Ample Parking Space
Location: Ajah, Lekki, Lagos",Ajah,Ajah,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki County for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-county-for-rent-v3NJ3qP6G9V4cvJvqD8yzA9l.html?page=47&pos=5&cur_pos=5&ads_per_page=21&ads_count=15788&lid=FOXK95B7VIvKP0sP&indexPosition=1045,"Spacious 4 bedroom,self serviced duplex along the road",Ikota,lekki county,500sqm,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,600000,600000,600000,1800000,,,,,,,,,,
